prompt,completion
rock jazz funk ->," None
None
None
None
5:s,7:s
0:k,2:l,4:h,4:s,6:s,6:s,8:s,9:t,10:b,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,26:s,27:h,28:k,29:k ###"
rock dark hybrid ->," None
None
None
None
None
0:r,0:k,2:a,3:k,4:s,6:k,6:a,7:s,8:a,9:s,10:k,10:a,12:s,13:a,14:a,15:a ###"
rock big room layered ->," None
None
None
None
5:s,7:s
0:k,2:l,4:h,4:s,6:s,8:s,9:t,10:l,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,26:s,27:h,28:k,29:k ###"
rock super boom layered ->," None
None
None
None
5:s,7:s
0:k,2:l,4:h,4:s,6:s,6:s,8:s,9:t,10:l,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,26:s,27:h,28:k,29:k ###"
rock nu rnb ->," None
None
None
None
5:s,7:s,10:s
0:k,2:l,4:h,4:s,6:s,6:s,8:s,9:t,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,27:h,28:k,29:k ###"
rock deep daft ->," None
None
None
None
5:s,7:s
0:k,2:a,4:h,4:s,6:s,6:s,8:s,9:t,10:l,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:k,24:a,26:s,27:h,28:k,29:k ###"
soul acoustic ->," None
None
None
None
0:k,2:k,4:k,9:s
4:s,6:k,7:h,8:h,8:k,10:k,10:k,12:z,14:k,15:h,15:s,16:k,19:h,20:z,21:s,22:h,23:j,23:k,23:k,25:s,25:s,26:s,27:h ###"
soul dark hybrid ->," None
None
None
None
0:k,2:a,4:k,6:a,7:a,9:s
4:s,8:k,8:a,10:k,10:a,12:z,14:a,15:a,15:s,16:a,19:a,20:z,21:s,23:k,23:a,25:s,25:s,26:s,27:a ###"
soul big room layered ->," None
None
None
None
0:k,2:k,4:k,9:s
4:s,6:k,7:h,8:h,8:k,10:k,10:k,12:z,14:k,15:h,15:s,16:k,19:h,20:z,21:s,22:h,23:j,23:k,23:k,25:s,26:s,27:h ###"
soul 808 simple ->," None
None
None
None
0:k,2:k,4:s,4:k,9:s
6:k,7:h,8:h,8:k,10:k,10:k,12:s,14:k,15:h,15:s,16:k,19:h,21:s,22:h,23:j,23:k,23:k,25:s,25:s,26:s,27:h ###"
soul deep daft ->," None
None
None
None
0:k,2:k,4:k,9:s
4:s,6:k,7:h,8:h,8:k,10:k,10:k,12:z,14:k,15:h,15:s,16:k,19:h,20:z,21:s,22:h,23:a,23:k,23:k,25:s,25:s,26:s,27:h ###"
soul acoustic ->," None
None
None
None
None
0:h,0:k,1:s,2:k,4:s,4:h,4:k,6:s,6:k,7:h,8:k,9:s,10:l,11:h,12:k,12:s,14:s,14:k,15:k ###"
soul dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,2:a,4:s,4:k,4:a,6:a,6:s,7:a,8:k,9:s,10:a,11:a,12:k,12:s,14:a,14:s,15:a ###"
soul big room layered ->," None
None
None
None
None
0:h,0:k,1:s,2:k,4:h,4:s,4:k,6:s,6:k,7:h,8:k,9:s,10:l,11:h,12:k,12:s,14:s,14:k,15:k ###"
soul deep daft ->," None
None
None
None
None
0:h,0:k,1:s,2:k,4:s,4:h,4:k,6:s,6:k,7:h,8:k,9:s,10:a,11:h,12:k,12:s,14:s,14:k,15:k ###"
hiphop acoustic ->," None
None
3:h
1:h
0:k,2:h,3:k,4:s,6:k,8:k,9:k,10:k,12:k,13:h,13:k,15:k
0:h,4:h,6:k,10:h,12:s,14:h,16:k,20:k,21:h,22:h,25:h,26:k,28:s,30:k ###"
hiphop dark hybrid ->," None
0:a
3:a
1:a
0:k,3:k,4:s,6:k,9:k,10:k,13:k,13:a,15:k
12:s,21:a,25:a,28:s ###"
hiphop big room layered ->," None
None
3:h
1:h,4:s
0:k,2:h,3:k,6:k,8:k,9:k,10:k,12:k,13:h,13:k,15:k
0:h,4:h,6:k,10:h,14:h,16:k,20:k,21:h,22:h,25:h,26:k,30:k ###"
funk groove acoustic ->," None
None
2:h
0:h,2:k,4:s,7:s
0:k,4:h,9:s,11:k
12:h,22:s,28:k ###"
funk groove dark hybrid ->," None
0:a
None
2:k,4:s,7:s
0:k,9:s,11:k
22:s ###"
soul groove acoustic ->," None
0:h
None
None
0:k,1:k,4:s,8:s,9:s,10:k,14:k
9:s,10:s,12:s,23:s,24:s,28:s ###"
soul groove dark hybrid ->," None
0:a
None
None
0:k,1:k,4:s,8:s,9:s,10:k,14:k
9:s,10:s,12:s,23:s,24:s,28:s ###"
soul groove big room layered ->," None
0:h
None
4:s
0:k,1:k,8:s,9:s,10:k,14:k
9:s,10:s,23:s,24:s ###"
funk groove acoustic ->," None
None
None
6:h
0:k,2:h,3:k,7:k,8:h,9:k,10:l,10:k,12:h
0:h,4:s,4:h,12:s,16:k,20:s,20:k,28:s,28:j ###"
funk groove dark hybrid ->," None
0:a
None
None
0:k,3:k,7:k,9:k,10:k
4:s,12:s,20:s,28:s,28:a ###"
funk groove big room layered ->," None
None
None
4:s,6:h
0:k,2:h,3:k,7:k,8:h,9:k,10:l,10:k,12:h
0:h,4:h,16:k,20:k,28:j ###"
funk groove deep daft ->," None
None
None
6:h
0:k,2:h,3:k,7:k,8:h,9:k,10:k,10:a,12:h
0:h,4:s,4:h,12:s,16:k,20:s,20:k,28:s,28:a ###"
soul groove acoustic ->," 0:h
None
None
None
0:k,3:k,4:s,7:s,9:k,10:k,12:s,13:k,15:k
None ###"
soul groove dark hybrid ->," 0:a
None
None
None
0:k,3:k,4:s,7:s,9:k,10:k,12:s,13:k,15:k
None ###"
soul groove big room layered ->," 0:h
None
None
4:s
0:k,3:k,7:s,9:k,10:k,13:k,15:k
None ###"
soul groove acoustic ->," None
None
2:h
0:k,4:h,4:s,7:h
0:h,9:h
None ###"
soul groove dark hybrid ->," None
None
2:a
0:k,4:s,4:a,7:a
0:a,9:a
None ###"
funk groove acoustic ->," None
None
None
None
0:h,0:k,3:h,12:s
0:s,3:s,4:h,6:s,6:k,8:h,9:s,10:s,10:h,12:h,13:s,14:s,14:h,15:s,17:h,18:h,19:k,20:s,20:h,21:h,22:h,23:s,23:h,24:h,25:h,26:h,26:k,27:h,28:h,29:h,29:k,30:h,31:h ###"
funk groove dark hybrid ->," None
None
0:a
6:a
0:k,3:a,10:a,12:s
0:s,3:s,6:s,9:s,10:s,13:s,14:s,15:s,17:a,18:a,19:k,20:s,21:a,23:s,23:a,25:a,26:k,27:a,29:k,29:a,31:a ###"
funk groove big room layered ->," None
None
None
None
0:h,0:k,3:h,12:s
0:s,3:s,4:h,6:s,6:k,8:h,9:s,10:h,10:s,12:h,13:s,14:h,14:s,15:s,17:h,18:h,19:k,20:h,20:s,21:h,22:h,23:h,23:s,24:h,25:h,26:h,26:k,27:h,28:h,29:h,29:k,30:h,31:h ###"
hiphop groove acoustic ->," None
None
None
None
0:k,4:h,5:h,6:h,7:h,7:k,8:h,9:k,10:k
1:k,4:k,4:s,9:h,10:h,11:h,12:s,12:h,13:h,13:k,14:h,15:h,15:k,16:h,17:h,18:h,19:h,19:k,20:s,28:w,28:k,28:s,30:w,30:k ###"
hiphop groove dark hybrid ->," None
None
None
None
0:k,4:a,5:a,6:a,7:k,7:a,8:a,9:k,10:k
1:k,4:k,4:s,9:a,10:a,11:a,12:s,12:a,13:k,13:a,14:a,15:k,15:a,16:a,17:a,18:a,19:k,19:a,20:s,28:w,28:k,28:s,30:w,30:k ###"
hiphop groove big room layered ->," None
None
None
4:s
0:k,4:h,5:h,6:h,7:h,7:k,8:h,9:k,10:k
1:k,4:k,9:h,10:h,11:h,12:h,13:h,13:k,14:h,15:h,15:k,16:h,17:h,18:h,19:h,19:k,28:k,28:l,30:k,30:l ###"
hiphop groove nu rnb ->," None
None
None
None
0:k,4:h,5:h,6:h,7:h,7:k,8:h,9:k,10:k
1:k,4:k,4:s,9:h,10:h,11:h,12:s,12:h,13:h,13:k,14:h,15:h,15:k,16:h,17:h,18:h,19:h,19:k,20:s,28:k,28:z,28:s,30:k,30:z ###"
pop groove acoustic ->," None
None
0:h
2:h,4:s
0:k,6:h
8:k,12:k,26:k,30:h ###"
pop groove dark hybrid ->," None
None
0:a
2:a,4:s
0:k,6:a
8:k,12:k,26:k,30:a ###"
rock groove acoustic ->," None
None
None
0:h,0:k,2:h,4:s
4:h,6:h,7:k
12:h,14:h,27:s,29:l,29:k ###"
rock groove dark hybrid ->," None
None
None
0:k,0:a,2:a,4:s
4:a,6:a,7:k
12:a,14:a,27:s,29:k,29:a ###"
rock groove deep daft ->," None
None
None
0:h,0:k,2:h,4:s
4:h,6:h,7:k
12:h,14:h,27:s,29:k,29:a ###"
soul groove acoustic ->," None
0:h
None
4:s
0:k,10:k,15:k
None ###"
funk acoustic ->," None
None
None
7:s
4:k,7:h,8:k,9:s,10:k,12:h,14:s,14:k,15:s
0:k,0:k,4:s,6:k,10:k,11:s,16:s,17:s,18:l,18:k,20:s,20:h,21:s,22:h,23:s,24:s,26:l,28:s,28:k ###"
funk dark hybrid ->," None
None
None
4:a,6:a,7:s
7:a,8:a,9:s,10:k,10:a,14:s,15:s
0:k,0:a,4:s,11:s,16:s,17:s,18:k,18:a,20:s,20:a,21:s,23:s,24:s,28:a,28:s ###"
funk big room layered ->," None
None
None
7:s
4:s,4:k,7:h,8:k,9:s,10:k,12:h,14:s,14:k,15:s
0:k,0:k,6:k,10:k,11:s,16:s,17:s,18:l,18:k,20:h,21:s,22:h,23:s,24:s,26:l,28:s,28:k ###"
funk deep daft ->," None
None
None
7:s
4:k,7:h,8:k,9:s,10:k,12:h,14:s,14:k,15:s
0:k,0:k,4:s,6:k,10:k,11:s,16:s,17:s,18:k,18:a,20:s,20:h,21:s,22:h,23:s,24:s,26:a,28:s,28:k ###"
funk acoustic ->," None
None
None
0:k,6:k
2:k,4:k,7:k,10:l,12:s,12:h
4:y,16:y,24:y ###"
funk dark hybrid ->," None
None
2:a
0:k
4:k,7:k,12:s,12:a
4:y,16:y,24:y ###"
funk big room layered ->," None
None
None
0:k,6:k
2:k,4:k,7:k,10:l,12:h,12:s
4:y,16:y,24:y ###"
funk deep daft ->," None
None
None
0:k,6:k
2:k,4:k,7:k,10:a,12:s,12:h
4:y,16:y,24:y ###"
rock acoustic ->," None
None
None
None
0:k,0:y,12:h
10:s,11:s,13:t,14:x,20:r,20:s,22:r,22:h,23:s,24:r,24:k,26:r,26:k,28:r,28:s,30:r,30:k ###"
rock dark hybrid ->," None
None
None
None
0:k,0:y,12:a
10:s,11:s,13:t,14:x,20:r,20:s,22:r,22:a,23:s,24:r,24:k,26:r,26:k,28:r,28:s,30:r,30:k ###"
rock acoustic ->," None
None
None
None
None
0:k,0:y,2:r,4:r,4:s,6:r,7:s,8:h,8:s,9:t,9:z,10:t,11:t,12:h,12:x,13:x,14:x,15:x ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:y,2:r,4:r,4:s,6:r,7:s,8:a,8:s,9:t,9:z,10:t,11:t,12:x,12:a,13:x,14:x,15:x ###"
rock 808 simple ->," None
None
None
None
None
0:k,0:y,2:r,4:r,4:s,6:r,7:s,8:h,8:s,9:s,9:t,10:t,11:t,12:h,12:x,13:x,14:x,15:x ###"
rock acoustic ->," None
None
0:l
0:k,4:s
2:k,6:k
10:k,14:k ###"
rock dark hybrid ->," None
None
0:a
0:k,4:s
2:k,6:k
10:k,14:k ###"
funk acoustic ->," None
None
None
None
None
0:k,0:j,1:h,2:h,2:k,3:h,4:h,4:s,5:h,5:k,6:h,7:h,7:s,8:h,9:h,9:s,10:h,10:k,11:h,11:s,12:h,12:s,13:h,13:k,14:h,15:h,15:s ###"
funk dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:k,2:a,3:a,4:s,4:a,5:k,5:a,6:a,7:a,7:s,8:a,9:s,9:a,10:k,10:a,11:s,11:a,12:a,12:s,13:k,13:a,14:a,15:a,15:s ###"
funk deep daft ->," None
None
None
None
None
0:k,0:a,1:h,2:h,2:k,3:h,4:h,4:s,5:h,5:k,6:h,7:h,7:s,8:h,9:h,9:s,10:h,10:k,11:h,11:s,12:h,12:s,13:h,13:k,14:h,15:h,15:s ###"
dance disco acoustic ->," None
None
0:k
4:h
8:h,14:h,15:s
0:h,0:y,2:l,2:k,4:s,4:h,5:s,6:k,7:s,10:s,10:k,12:s,16:h,18:h,20:s,22:h,26:h,28:z,31:h ###"
dance disco dark hybrid ->," None
0:a
0:k
None
15:s
0:y,2:k,4:s,4:a,5:s,7:s,10:s,12:s,20:s,28:z,31:a ###"
dance disco big room layered ->," None
None
0:k
4:h
4:s,8:h,14:h,15:s
0:h,0:y,2:l,2:k,4:h,5:s,6:k,7:s,10:s,10:k,12:s,16:h,18:h,22:h,26:h,28:z,31:h ###"
dance disco 808 simple ->," None
None
0:k
4:h
8:h,14:h,15:s
0:h,0:y,2:l,2:k,4:s,4:h,5:s,6:k,7:s,10:s,10:k,12:s,16:h,18:h,20:s,22:h,26:h,28:s,31:h ###"
dance disco deep daft ->," None
None
0:k
4:h
8:h,14:h,15:s
0:h,0:y,2:k,2:a,4:s,4:h,5:s,6:k,7:s,10:s,10:k,12:s,16:h,18:h,20:s,22:h,26:h,28:z,31:h ###"
funk acoustic ->," None
None
None
None
None
0:k,0:k,1:s,2:h,2:s,3:h,3:k,4:k,5:s,6:h,7:h,8:k,9:s,10:h,10:k,10:s,11:h,11:k,12:l,12:z,13:s,14:h,14:h,15:h ###"
funk dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,2:s,2:a,3:k,3:a,4:a,5:s,6:a,7:a,8:a,9:s,10:s,10:k,10:a,11:k,11:a,12:z,12:a,13:s,14:a,15:a ###"
funk 808 simple ->," None
None
None
None
None
0:k,0:k,1:s,2:h,2:s,3:h,3:k,4:k,5:s,6:h,7:h,8:k,9:s,10:h,10:k,10:s,11:h,11:k,12:s,12:l,13:s,14:h,14:h,15:h ###"
funk deep daft ->," None
None
None
None
None
0:k,0:k,1:s,2:h,2:s,3:h,3:k,4:k,5:s,6:h,7:h,8:k,9:s,10:h,10:k,10:s,11:h,11:k,12:z,12:a,13:s,14:h,14:h,15:h ###"
latin brazilian-baiao acoustic ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:k,4:h,6:s,6:j,7:s,8:h,8:h,8:k,9:h,10:h,11:k,12:h,13:h,14:h,14:z ###"
latin brazilian-baiao dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,2:a,3:k,4:a,6:s,6:a,7:s,8:k,8:a,9:a,10:a,11:k,12:a,13:a,14:z,14:a ###"
latin brazilian-baiao big room layered ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:k,4:h,6:j,6:s,7:s,8:h,8:h,8:k,9:h,10:h,11:k,12:h,13:h,14:h,14:z ###"
latin brazilian-baiao 808 simple ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:k,4:h,6:s,6:j,7:s,8:h,8:h,8:k,9:h,10:h,11:k,12:h,13:h,14:s,14:h ###"
latin brazilian-baiao deep daft ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:k,4:h,6:s,6:a,7:s,8:h,8:h,8:k,9:h,10:h,11:k,12:h,13:h,14:h,14:z ###"
afrocuban acoustic ->," None
None
3:h
4:h,5:h,6:h
0:h,9:h,10:h
0:h,0:k,2:k,8:h,17:h,18:h,24:k ###"
afrocuban dark hybrid ->," None
0:a
3:a
5:a
9:a
0:k,0:a,17:a ###"
afrocuban acoustic ->," None
None
None
0:k,1:h,1:r,3:r,3:k,3:h,4:r,4:s
0:s,2:s,5:h,5:r,6:s,7:r,7:h,7:s,8:r
10:s,13:h,13:r,15:r,15:h,15:s,26:z ###"
afrocuban dark hybrid ->," None
None
None
0:k,1:r,1:a,3:r,3:k,3:a,4:r,4:s
0:s,2:s,5:r,5:a,6:s,7:a,7:r,7:s,8:r
10:s,13:r,13:a,15:s,15:r,15:a,26:z ###"
afrocuban 808 simple ->," None
None
None
0:k,1:h,1:r,3:r,3:k,3:h,4:r,4:s
0:s,2:s,5:h,5:r,6:s,7:r,7:h,7:s,8:r
10:s,13:h,13:r,15:r,15:h,15:s,26:s ###"
reggae acoustic ->," None
None
None
None
None
0:k,2:h,2:k,2:z,4:h,6:h,6:z,8:h,9:z,10:h,10:k,12:l,12:z ###"
reggae dark hybrid ->," None
None
None
None
None
0:k,0:z,0:a,2:a,4:z,4:a,6:a,7:z,8:k,8:a,10:z,10:a ###"
reggae 808 simple ->," None
None
None
None
None
0:k,2:s,2:h,2:k,4:h,6:s,6:h,8:h,9:s,10:h,10:k,12:s,12:l ###"
reggae deep daft ->," None
None
None
None
None
0:k,2:h,2:k,2:z,4:h,6:h,6:z,8:h,9:z,10:h,10:k,12:z,12:a ###"
reggae slow acoustic ->," None
None
None
None
None
0:k,1:h,2:h,2:k,3:h,4:k,5:h,6:h,6:z,7:h,8:h,9:h,9:z,10:k,11:h,12:h,12:z,13:h,13:z ###"
reggae slow dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:a,3:a,4:z,4:a,5:a,6:a,7:z,7:a,8:k,9:a,10:z,10:a,11:z,11:a ###"
reggae slow 808 simple ->," None
None
None
None
None
0:k,1:h,2:h,2:k,3:h,4:k,5:h,6:s,6:h,7:h,8:h,9:s,9:h,10:k,11:h,12:s,12:h,13:s,13:h ###"
rock halftime acoustic ->," None
None
None
None
None
0:h,0:k,2:h,4:h,6:h,8:s,8:h,10:h,12:k,14:h,14:k ###"
rock halftime dark hybrid ->," None
None
None
None
None
0:k,0:a,2:a,4:a,6:a,8:s,8:a,10:a,12:a,14:k,14:a ###"
rock halftime big room layered ->," None
None
None
None
None
0:h,0:k,2:h,4:h,6:h,8:h,8:s,10:h,12:k,14:h,14:k ###"
funk acoustic ->," None
None
None
None
None
0:k,1:h,2:k,3:r,3:k,3:y,5:h,6:h,7:h,7:z,8:k,9:h,9:k,10:h,10:s,11:h,11:k,12:h,12:s,13:h,13:k,13:s,14:h,14:k,15:l,15:z,16:s,17:l,18:s ###"
funk dark hybrid ->," None
None
None
None
1:a
0:k,2:k,3:r,3:k,3:y,5:a,6:a,7:z,7:a,8:a,9:a,10:a,10:s,11:a,12:a,12:s,13:a,13:k,13:s,14:k,14:a,15:z,15:a,16:s,18:s ###"
funk 808 simple ->," None
None
None
None
None
0:k,1:h,2:k,3:r,3:k,3:y,5:h,6:h,7:s,7:h,8:k,9:h,9:k,10:h,10:s,11:h,11:k,12:h,12:s,13:h,13:k,13:s,14:h,14:k,15:s,15:l,16:s,17:l,18:s ###"
funk deep daft ->," None
None
None
None
None
0:k,1:h,2:k,3:r,3:k,3:y,5:h,6:h,7:h,7:z,8:k,9:h,9:k,10:h,10:s,11:h,11:k,12:h,12:s,13:h,13:k,13:s,14:h,14:k,15:z,15:a,16:s,17:a,18:s ###"
jazz acoustic ->," None
None
None
None
None
0:k,2:r,2:k,2:y,6:r,6:h,9:r,10:r,14:r,14:h,17:r ###"
jazz dark hybrid ->," None
None
None
None
None
0:k,2:r,2:k,2:y,6:r,6:a,9:r,10:r,14:r,14:a,17:r ###"
jazz acoustic ->," None
None
None
None
None
0:r,0:k,1:k,1:y,5:h,6:r,9:r,10:r,14:r,14:h ###"
jazz dark hybrid ->," None
None
None
None
None
0:r,0:k,1:k,1:y,5:a,6:r,9:r,10:r,14:r,14:a ###"
jazz funk acoustic ->," None
None
None
None
None
22:h,24:s,26:h,27:u,28:u,29:h ###"
jazz funk dark hybrid ->," None
None
None
None
None
22:a,24:s,26:a,27:u,28:u,29:a ###"
jazz acoustic ->," None
None
None
4:h
4:h,7:j,8:j
0:l,12:h,15:h,16:j,27:h,31:j ###"
jazz dark hybrid ->," None
None
0:a
7:a
4:a
12:a,27:a ###"
jazz deep daft ->," None
None
None
0:a,4:h
4:h,7:a
12:h,15:h,27:h,31:a ###"
rock shuffle acoustic ->," None
None
None
None
None
0:k,1:r,1:k,1:y,5:s,5:r,5:h,5:k,8:r,8:s,9:r,9:k,12:s,13:r,13:h,13:s,13:k,16:r,16:s ###"
rock shuffle dark hybrid ->," None
None
None
None
None
0:k,1:r,1:k,1:y,5:s,5:r,5:k,5:a,8:r,8:s,9:r,9:k,12:s,13:a,13:r,13:k,13:s,16:r,16:s ###"
jazz acoustic ->," None
None
0:r
4:h,7:r
None
0:k,0:y,16:h ###"
jazz dark hybrid ->," None
None
0:r
4:a,7:r
None
0:k,0:y,16:a ###"
jazz acoustic ->," None
None
None
None
0:h
0:k,3:k,7:s,8:h,9:s,10:s,11:s,13:s,14:k,17:k,19:u ###"
jazz dark hybrid ->," None
None
None
None
0:a
0:k,3:k,7:s,8:a,9:s,10:s,11:s,13:s,14:k,17:k,19:u ###"
jazz mediumfast acoustic ->," None
None
None
4:r,4:h
2:s,6:r,7:s,8:r
3:s,14:r,16:r,27:s,28:s,31:r ###"
jazz mediumfast dark hybrid ->," None
None
None
4:r,4:a
2:s,6:r,7:s,8:r
3:s,14:r,16:r,27:s,28:s,31:r ###"
jazz mediumfast acoustic ->," None
None
None
None
None
0:k,1:r,1:s,5:r,5:h,9:r,13:r,13:h ###"
jazz mediumfast dark hybrid ->," None
None
None
None
None
0:k,1:r,1:s,5:r,5:a,9:r,13:r,13:a ###"
jazz fast acoustic ->," None
None
None
None
None
0:r,0:k,0:y ###"
latin reggaeton acoustic ->," None
None
None
None
0:k
2:z,4:k,4:k,5:s,6:h,7:s,8:h,8:k,10:h,10:k,10:s,12:h,12:k,14:h,15:s,16:h,18:h,18:s ###"
latin reggaeton dark hybrid ->," None
None
None
None
0:k
2:z,4:k,4:a,5:s,6:a,7:s,8:k,8:a,10:a,10:k,10:s,12:k,12:a,14:a,15:s,16:a,18:a,18:s ###"
latin reggaeton 808 simple ->," None
None
None
None
0:k
2:s,4:k,4:k,5:s,6:h,7:s,8:h,8:k,10:h,10:k,10:s,12:h,12:k,14:h,15:s,16:h,18:h,18:s ###"
dance breakbeat acoustic ->," None
None
None
None
None
0:h,0:k,0:s,2:h,4:h,4:s,6:h,7:s,8:h,8:k,9:k,10:h,10:s,12:h,14:h,15:s ###"
dance breakbeat dark hybrid ->," None
None
None
None
None
0:a,0:k,0:s,2:a,4:s,4:a,6:a,7:s,8:k,8:a,9:k,10:a,10:s,12:a,14:a,15:s ###"
dance breakbeat acoustic ->," None
None
None
0:k,6:h,7:h
0:h,2:k,3:h,4:s,10:s,12:h,13:h
1:h,5:h,8:h,9:k,11:h,17:k,21:k,24:k,25:h,27:k ###"
dance breakbeat dark hybrid ->," None
1:a
None
0:k,0:a,6:a
2:a,4:s,10:s,12:a
None ###"
neworleans funk acoustic ->," None
None
None
None
4:h
0:l,0:k,3:s,4:s,5:k,6:k,6:y,7:k,8:k,9:k,10:s,11:k,13:k,14:k,15:k,16:h,17:k,18:s,20:s,21:h ###"
neworleans funk dark hybrid ->," None
None
None
None
0:a,4:a
0:k,3:s,4:s,5:k,6:k,6:y,7:a,8:a,9:k,10:s,11:k,13:a,14:k,15:a,17:k,18:s,20:s,21:a ###"
neworleans funk big room layered ->," None
None
None
None
4:h,4:s
0:l,0:k,3:s,5:k,6:k,6:y,7:k,8:k,9:k,10:s,11:k,13:k,14:k,15:k,16:h,17:k,18:s,21:h ###"
neworleans funk deep daft ->," None
None
None
None
4:h
0:k,0:a,3:s,4:s,5:k,6:k,6:y,7:k,8:k,9:k,10:s,11:k,13:k,14:k,15:k,16:h,17:k,18:s,20:s,21:h ###"
country acoustic ->," 0:s
None
0:k
None
None
None ###"
afrocuban bembe acoustic ->," None
None
None
None
None
11:s,12:s,16:r,16:h,18:r,21:r,22:r,24:h,25:r,28:r,31:r ###"
afrocuban bembe dark hybrid ->," None
None
None
None
None
11:s,12:s,16:r,16:a,18:r,21:r,22:r,24:a,25:r,28:r,31:r ###"
afrocuban rhumba acoustic ->," None
None
0:z
5:z,7:z
1:z,3:z,10:z
None ###"
afrocuban rhumba 808 simple ->," None
None
0:s
5:s,7:s
1:s,3:s,10:s
None ###"
rock acoustic ->," None
None
None
None
None
0:r,0:k,0:y,1:k,3:h,4:s,4:h,5:h,7:h,8:h,8:k,9:h,11:h,12:s,12:h,13:h,15:h ###"
rock dark hybrid ->," None
None
None
None
None
0:r,0:k,0:y,1:a,3:a,4:s,4:a,5:a,7:a,8:k,8:a,9:a,11:a,12:s,12:a,13:a,15:a ###"
rock big room layered ->," None
None
None
None
None
0:r,0:k,0:y,1:k,3:h,4:h,4:s,5:h,7:h,8:h,8:k,9:h,11:h,12:h,12:s,13:h,15:h ###"
rock acoustic ->," None
None
None
None
None
0:k,1:s,2:s,4:l,5:h,5:k,6:k,8:k,9:s,9:h,9:k,12:h,12:k,13:k,14:k,15:k,17:s,17:k,17:k,19:k,20:h ###"
rock dark hybrid ->," None
None
None
None
4:a
0:k,1:s,2:s,5:k,5:a,6:a,8:k,9:s,9:k,9:a,12:k,12:a,13:k,14:a,15:k,17:s,17:k,17:a,19:k ###"
rock big room layered ->," None
None
None
None
1:s
0:k,2:s,4:l,5:h,5:k,6:k,8:k,9:h,9:k,9:s,12:h,12:k,13:k,14:k,15:k,17:k,17:k,19:k,20:h ###"
rock deep daft ->," None
None
None
None
None
0:k,1:s,2:s,4:a,5:h,5:k,6:k,8:k,9:s,9:h,9:k,12:h,12:k,13:k,14:k,15:k,17:s,17:k,17:k,19:k,20:h ###"
latin chacarera acoustic ->," None
None
None
None
4:h,4:z,5:h,5:k,8:h,8:z,9:h,11:h,11:k
0:s,0:k,2:h,2:k,6:h,12:h,12:z,13:h,13:k,15:h,16:h,16:z,17:h,19:h,19:k,23:h ###"
latin chacarera dark hybrid ->," None
None
None
None
2:z,2:a,3:k,3:a,6:z,6:a,7:a,9:k,9:a
0:k,0:a,4:a,10:z,10:a,11:k,11:a,13:a,14:z,14:a,15:a,17:k,17:a,21:a ###"
latin chacarera 808 simple ->," None
None
None
0:s
4:s,4:h,5:h,5:k,8:h,9:h,11:h,11:k
0:k,2:h,2:k,6:h,12:s,12:h,13:h,13:k,15:h,16:h,17:h,19:h,19:k,23:h ###"
latin chacarera acoustic ->," None
None
None
None
2:h,2:z,3:k
0:h,0:k,3:h,5:h,6:h,6:z,7:h,8:k,9:h,10:h,10:z,11:h,11:k,12:h,14:h,14:z,15:h,17:h,17:k,19:k,22:t,22:h,23:t,24:t,25:t,25:h ###"
latin chacarera dark hybrid ->," None
None
None
None
2:z,2:a,3:k,3:a,6:a,9:a
0:k,0:a,5:a,6:z,7:a,8:k,10:z,10:a,11:k,11:a,12:a,14:z,14:a,15:a,17:k,17:a,22:t,23:t,24:t,25:t ###"
latin chacarera 808 simple ->," None
None
None
None
2:s,2:h,3:k
0:h,0:k,3:h,5:h,6:s,6:h,7:h,8:k,9:h,10:s,10:h,11:h,11:k,12:h,14:s,14:h,15:h,17:h,17:k,19:k,22:t,22:h,23:t,24:t,25:t,25:h ###"
punk acoustic ->," None
None
None
None
0:k,4:k
5:u,6:u,7:u,8:u,9:u,10:u,12:k,14:s,16:s,18:s,20:s,22:z,24:k,25:k,26:s ###"
punk 808 simple ->," None
None
None
None
0:k,4:k
5:u,6:u,7:u,8:u,9:u,10:u,12:k,14:s,16:s,18:s,20:s,22:s,24:k,25:k,26:s ###"
punk acoustic ->," None
None
0:k
1:u,2:k
1:z,3:u,5:u,6:k,7:u
5:t,9:z,11:u,13:t,13:u,14:k,15:u,21:w,29:s,29:r ###"
punk big room layered ->," None
None
0:k
1:u,2:k
1:z,3:u,5:u,6:k,7:u
5:t,9:z,11:u,13:t,13:u,14:k,15:u,21:l,29:r,29:s ###"
